"long","lat","order","hole","piece","id","group"
454324.0032,524247.895,93,FALSE,"1","E06000004","E06000004.1"
451894.3886,521145.4057,94,FALSE,"1","E06000004","E06000004.1"
448410.2002,522046.995,95,FALSE,"1","E06000004","E06000004.1"
447775.6026,519700.8966,96,FALSE,"1","E06000004","E06000004.1"
446483.8983,519130.1,97,FALSE,"1","E06000004","E06000004.1"
447271.4006,518107.8026,98,FALSE,"1","E06000004","E06000004.1"
446335.2976,515897.6953,99,FALSE,"1","E06000004","E06000004.1"
446561.5008,513911.5038,100,FALSE,"1","E06000004","E06000004.1"
449638.4999,513046.4014,101,FALSE,"1","E06000004","E06000004.1"
448237.3012,512006.699,102,FALSE,"1","E06000004","E06000004.1"
448206.2998,510472.1983,103,FALSE,"1","E06000004","E06000004.1"
446675.497,510803.7034,104,FALSE,"1","E06000004","E06000004.1"
445437.6,509167.3018,105,FALSE,"1","E06000004","E06000004.1"
442644.396,507839.102,106,FALSE,"1","E06000004","E06000004.1"
442552.4965,508756.5994,107,FALSE,"1","E06000004","E06000004.1"
441295.1,508026.6983,108,FALSE,"1","E06000004","E06000004.1"
440760.9025,508729.0972,109,FALSE,"1","E06000004","E06000004.1"
440192.1004,511141.1968,110,FALSE,"1","E06000004","E06000004.1"
439290.7009,510204.305,111,FALSE,"1","E06000004","E06000004.1"
438503.3965,511071.0969,112,FALSE,"1","E06000004","E06000004.1"
438149.502,509250.498,113,FALSE,"1","E06000004","E06000004.1"
436894.8015,509491.599,114,FALSE,"1","E06000004","E06000004.1"
436707.0038,510384.6034,115,FALSE,"1","E06000004","E06000004.1"
437547.0024,513968.3975,116,FALSE,"1","E06000004","E06000004.1"
435714.9993,515437.0971,117,FALSE,"1","E06000004","E06000004.1"
435879.7026,517964.5036,118,FALSE,"1","E06000004","E06000004.1"
438161.3006,519001.2969,119,FALSE,"1","E06000004","E06000004.1"
438396.4003,522220.2954,120,FALSE,"1","E06000004","E06000004.1"
437351.7016,523257.4985,121,FALSE,"1","E06000004","E06000004.1"
436388.0024,522354.1971,122,FALSE,"1","E06000004","E06000004.1"
435563.1994,524065.1973,123,FALSE,"1","E06000004","E06000004.1"
438017.8036,524761.3981,124,FALSE,"1","E06000004","E06000004.1"
440052.7012,527819.7026,125,FALSE,"1","E06000004","E06000004.1"
443024.0975,526445.396,126,FALSE,"1","E06000004","E06000004.1"
443410.7002,527859.9011,127,FALSE,"1","E06000004","E06000004.1"
444216.0036,528004.8996,128,FALSE,"1","E06000004","E06000004.1"
445354.8031,526096.096,129,FALSE,"1","E06000004","E06000004.1"
448090.9019,525608.7955,130,FALSE,"1","E06000004","E06000004.1"
449537.399,526239.405,131,FALSE,"1","E06000004","E06000004.1"
451148.5004,525456.799,132,FALSE,"1","E06000004","E06000004.1"
452185.2938,526288.4778,133,FALSE,"1","E06000004","E06000004.1"
436388.0024,522354.1971,134,FALSE,"1","E06000005","E06000005.1"
437351.7016,523257.4985,135,FALSE,"1","E06000005","E06000005.1"
438396.4003,522220.2954,136,FALSE,"1","E06000005","E06000005.1"
438161.3006,519001.2969,137,FALSE,"1","E06000005","E06000005.1"
435879.7026,517964.5036,138,FALSE,"1","E06000005","E06000005.1"
435714.9993,515437.0971,139,FALSE,"1","E06000005","E06000005.1"
437547.0024,513968.3975,140,FALSE,"1","E06000005","E06000005.1"
436707.0038,510384.6034,141,FALSE,"1","E06000005","E06000005.1"
435163.8994,512200.3036,142,FALSE,"1","E06000005","E06000005.1"
434127.1984,511835.498,143,FALSE,"1","E06000005","E06000005.1"
435127.8025,511126.1011,144,FALSE,"1","E06000005","E06000005.1"
434847.0005,508818.6016,145,FALSE,"1","E06000005","E06000005.1"
435526.5007,507985.3002,146,FALSE,"1","E06000005","E06000005.1"
434922.5994,507466.1987,147,FALSE,"1","E06000005","E06000005.1"
435360.7997,506474.4026,148,FALSE,"1","E06000005","E06000005.1"
434327.0999,506817.1045,149,FALSE,"1","E06000005","E06000005.1"
434096.6999,508845.7039,150,FALSE,"1","E06000005","E06000005.1"
432560.7027,509038.4987,151,FALSE,"1","E06000005","E06000005.1"
433023.8031,510212.7026,152,FALSE,"1","E06000005","E06000005.1"
431764.8977,508958.8015,153,FALSE,"1","E06000005","E06000005.1"
431577.2978,509932.6027,154,FALSE,"1","E06000005","E06000005.1"
430623.7977,510041.7015,155,FALSE,"1","E06000005","E06000005.1"
431217.5988,508513.7989,156,FALSE,"1","E06000005","E06000005.1"
429542.796,508523.996,157,FALSE,"1","E06000005","E06000005.1"
428915.9982,510048.8995,158,FALSE,"1","E06000005","E06000005.1"
427107.8975,511386.7965,159,FALSE,"1","E06000005","E06000005.1"
427346.4024,512288.0985,160,FALSE,"1","E06000005","E06000005.1"
426526.8021,512184.5981,161,FALSE,"1","E06000005","E06000005.1"
427221.3001,513139.5048,162,FALSE,"1","E06000005","E06000005.1"
425826.3017,512879.4992,163,FALSE,"1","E06000005","E06000005.1"
425247.6963,513924.4001,164,FALSE,"1","E06000005","E06000005.1"
423837.0983,513261.4999,165,FALSE,"1","E06000005","E06000005.1"
423801.8012,514513.5015,166,FALSE,"1","E06000005","E06000005.1"
